pid,arrival_time,cpu_bursts_time,io_bursts_time,bursts_time,tat,ready_wait_time,io_wait_time
0,8.59532387307372,37.15976733315758,7.172102718518289,44.33187005167587,240.3800157211612,195.234820806474,7.985427581529525
2,41.075231383482766,18.00872478441343,3.88346620394028,21.89219098835371,223.40755128065817,200.5683748307718,4.830451665472907
6,68.97396510050098,15.691521982759925,2.734363098579907,18.425885081339832,273.63066777574943,255.15841968345583,2.7807261095335605
11,97.11684019434288,13.152264449224312,2.322321824105337,15.474586273329647,316.86552236702846,301.39093609369866,2.3223218241053445
1,19.073571079635595,37.24849384681079,5.722286058878389,42.97077990568917,440.02077917007995,396.65086427136606,6.121421051903003
3,41.63875362586584,26.711851127420204,4.025596114012647,30.73744724143285,485.7624208479704,454.15054239657564,4.900027323974385
15,134.77133863948748,13.550111040512611,2.975129809163974,16.525240849676585,432.8302849562738,415.8933270765461,3.38684683921511
5,63.49271928832054,24.909491167770025,3.334539684927389,28.24403085269741,577.0795548522514,548.7487478834213,3.4213158010602456
10,86.13765577281151,21.223437229537527,4.451796250034296,25.675233479571823,576.9874455283966,550.8396927800729,4.924315518786003
14,116.81126008835157,18.096075583073482,4.573327246370819,22.6694028294443,555.5189170998917,532.0747459106959,5.348095606122342
19,187.93559047201464,13.820893767055718,2.923494251594338,16.744388018650056,547.107964968419,529.7844486151071,3.502622586256223
23,205.35539062271803,14.703753657699814,4.557839081970684,19.261592739670498,574.3347674349117,554.7599616251383,4.87105215207356
33,316.26198936784067,10.630490729842913,1.4498914993361036,12.080382229179015,473.9425514890564,461.2853989165103,2.0266618427033336
7,73.7047513375574,23.646686974528613,5.743294874665028,29.389981849193646,731.1427865365013,700.6817655103172,6.814334051655592
21,193.30170815816086,19.692371332071932,3.3296450506320214,23.022016382703956,765.7026045309826,742.527670860548,3.48256233836301
16,168.0346238829511,19.999797369375166,3.3913882345323607,23.391185603907523,813.3881080576589,789.5319360275655,3.8563746607185294
43,482.486202547933,9.713181302100192,2.5125557685816373,12.22573707068183,524.1927071041405,511.75976841589676,2.719757386143897
