pid,arrival_time,cpu_bursts_time,io_bursts_time,bursts_time,tat,ready_wait_time,io_wait_time,response_time
76,718.0196175728371,75.43768067134741,46.14982030963112,121.58750098097852,563.8540284177642,423.99837075793073,64.41797698848723,719.54311579
79,828.012730435201,82.56488270408568,46.74556579948221,129.3104485035679,1023.2329423802329,875.7986643346712,64.86939534147655,828.06276070
31,250.19196232020977,70.76285083959722,47.13980562969342,117.90265646929063,1731.574193182781,1598.7425444445248,62.068797898659625,259.26513942
63,576.1819672291011,78.68038753674071,46.965014116900676,125.6454016536414,1496.0929258128986,1354.6296992616294,62.7828390145263,576.74974381
45,374.93546648659424,77.10205911648823,45.0747381582677,122.17679727475596,1929.0493552323355,1784.5988393827308,67.34845673311577,374.98831705
83,876.884458978645,81.72626299038227,46.36022605026432,128.0864890406466,1436.551559048758,1288.2830532135013,66.54224284487361,878.20465122
41,355.06555064380103,70.56643055407284,46.69894085230696,117.26537140637981,2183.479892094547,2045.6118266373444,67.30163490313134,355.31308343
65,583.935708967978,74.39997898493164,46.28832067185903,120.68829965679068,2007.0131985032704,1863.5639528009897,69.04926671734813,585.20054726
62,576.0833027519724,74.19087638720926,47.391242728509354,121.58211911571861,2061.9905490680885,1920.6526829811892,67.14698969969129,576.54823393
18,169.62510359668136,76.4265513186016,47.057196736885814,123.48374805548741,2688.1362991210926,2545.025501640769,66.68424616172064,170.35801684
30,240.70458582329633,77.81878395729704,48.134009954486444,125.95279391178349,2655.6825387670724,2511.7560309951928,66.10772381458099,241.09685915
39,325.1338897107118,73.47080680374626,45.58236837604949,119.05317517979577,2601.0941394393494,2463.832855360553,63.790477275050364,325.84605002
20,187.7376288132646,81.07934411189444,45.76070613261149,126.84005024450593,2763.079238061822,2619.1452209406248,62.85467300930216,187.88141913
29,239.4069843891013,76.0854282852165,47.822512783801166,123.90794106901765,2776.984389544402,2630.6567849166017,70.24217634258488,239.77320242
60,573.091248187063,83.91229468679488,47.33837181833769,131.25066650513256,2464.569038745546,2317.5205269383887,63.13621712036388,577.04219825
64,577.9024437392934,67.6392106611096,45.82952655218616,113.46873721329574,2621.6015718000626,2489.1864308003146,64.77593033863934,577.99807698
43,368.5164928667383,68.48007423713476,46.14630840372767,114.62638264086243,2861.9436294936218,2725.028318196782,68.43523705970489,382.83327989
57,565.9649536228538,90.29886491075375,46.07857717218208,136.37744208293583,2787.3908457017906,2635.826490700969,61.26549009006828,566.78260184
78,770.9660269199046,83.86055484851362,46.56926143111404,130.42981627962763,2748.3449344268747,2600.093322987898,64.39105659046231,771.95842440
27,218.10960774983698,78.65171862682487,46.25670243919992,124.90842106602477,3327.122669228777,3183.897484827306,64.57346577464386,218.74092823
84,877.9027373821178,86.56905670228508,46.25563801264712,132.8246947149322,2730.460824471119,2582.789508334419,61.10225943441503,877.96482520
15,144.12722799092506,86.58123259377548,46.10738738037333,132.68861997414882,3505.3072121606806,3357.8856228889144,60.84035667799077,144.30753875
72,668.5288203543926,90.8490943533743,46.3812813083132,137.2303756616875,3003.522001662145,2848.654469100842,64.01843820792772,668.65922441
75,689.916136744316,86.59288831157258,47.4925702235591,134.08545853513172,3020.0636457220935,2871.094677799467,62.37607961105118,689.97917319
70,643.2420064134003,87.6417247296972,44.81406596673903,132.45579069643622,3178.85629029232,3028.406243708346,62.808321854277324,643.30564733
0,0.7484536113377476,73.47607226141656,46.846058171578335,120.32213043299492,3851.0264301699,3704.3460235626026,73.2043343458818,0.74845361
25,217.0406197715445,90.76291724522977,47.310212041266674,138.07312928649645,3735.907583387587,3578.18358155772,66.96108458463746,223.00519045
49,451.39668616826305,78.85587459564144,45.19848372320576,124.05435831884719,3746.338639341003,3605.700884692753,61.78188005260728,452.70976976
9,108.44352044059065,69.03211750596354,45.87065243367875,114.90276993964231,4153.284585069896,4012.742721179732,71.50974638420045,108.68723098
73,675.6184039468086,85.02652905997552,47.10404179412214,132.13057085409764,3607.9989119862507,3458.9493638065433,64.02301911973211,675.90517276
46,413.58491800999315,73.40340492966135,45.75800703382294,119.16141196348431,3957.5276358571373,3818.3654848719734,65.75874605550376,414.42124831
35,278.96841844907135,80.50196626729334,45.10747665139741,125.60944291869076,4130.429904775897,3985.934532457102,63.99340605150559,280.61893598
69,632.122065966764,79.3108512338574,47.204018598557994,126.5148698324154,3838.3886107771714,3694.7481798547115,64.3295796886024,632.34419296
38,314.64966142196903,76.46950582183116,46.80725417335468,123.27675999518584,4346.881975184365,4207.765289207912,62.64718015461955,315.88999797
32,272.2227922510024,82.20405609875881,45.138806263279015,127.34286236203783,4403.0388764976215,4258.5999681581125,62.234852240746136,272.84789989
59,571.0645414802746,78.79629996317351,46.11296664782997,124.90926661100349,4177.261737138175,4035.110740472356,63.354696702646265,571.23858782
2,15.276329360782398,81.69642717811642,45.571420471222716,127.26784764933913,4772.923003538773,4625.732082484289,65.49449387636946,15.41179239
21,188.50010615020767,85.73525722410298,46.14513758565611,131.88039480975908,4615.084630877723,4466.28149041672,63.06788323690148,189.05202845
17,149.96925612241805,84.41642468356187,46.99757552337258,131.41400020693447,4699.078684618267,4547.18152626912,67.48073366558572,150.51580437
10,111.83849593593419,62.13685527249752,47.57755809119141,109.71441336368893,4750.456586280273,4618.756845303495,69.56288570428269,113.13346036
61,573.2198679746474,88.49915019741204,45.839056603778836,134.3382068011909,4317.278951285195,4170.2503450773875,58.52945601039437,3007.17864267
