pid,arrival_time,cpu_bursts_time,io_bursts_time,bursts_time,tat,ready_wait_time,io_wait_time,response_time
11,42.915876269933946,73.05667533421246,45.96259069866427,119.01926603287671,5254.177774344198,5109.686806522287,71.43429248772222,45.91618555
5,15.810047548853026,77.36205159312571,47.01740059136282,124.37945218448854,5332.177701890168,5182.050299834331,72.76535046273779,16.78906841
8,27.39630256249834,77.49915426980108,45.28590484054604,122.78505911034713,5361.430490238578,5213.559770049514,70.37156591929327,28.50136270
9,31.18343400884465,75.17653147600974,45.32065819770684,120.49718967371658,5427.525726130268,5275.591043800747,76.75815085354438,32.05450178
6,18.25674095087358,79.6144246803829,46.50054611118945,126.11497079157235,5487.460105219436,5330.997012242196,76.84866829688156,30.79302910
1,2.914446154202452,87.10487404982453,46.932754703201,134.03762875302553,5680.591327160467,5507.819169170799,85.66728393987542,3.41572340
4,14.614373786757996,83.20318634362917,46.18836302311958,129.39154936674873,5680.800509539914,5524.860123457936,72.73719973837903,14.85338939
10,38.44099425771386,79.9193062009225,45.40205351522042,125.3213597161429,5727.557379755251,5576.602806899598,71.03526665476059,43.53127904
15,94.31913844582846,76.6022872169135,45.791480816083386,122.39376803299692,5698.561556188334,5549.634432777795,72.32483619365759,99.30751735
0,1.5787010174605782,89.82475049761756,46.288839340937095,136.11358983855467,5809.187373427609,5646.401233309657,72.96138962036522,1.57870102
13,64.75848943550278,77.21922445587029,45.96245111145164,123.18167556732193,5784.518457670518,5624.924817293877,82.37441592080386,66.77738341
58,494.2651169489484,60.52336905963165,47.90564742022181,108.42901647985347,5368.572406489235,5230.999509080478,77.04952834915048,513.24922547
3,12.980853772298348,87.31826890011887,47.69440855708975,135.0126774572086,5998.564858804903,5833.826636596875,77.41995330794279,14.01976492
12,61.09209101449976,80.19819905520693,46.63627978506215,126.83447884026907,5951.7592298985,5796.661912894705,74.89911794862104,67.07542276
29,225.3586127672748,71.9159676265434,46.15070792937365,118.06667555591704,5828.91613701732,5682.907191851475,74.09297753933672,244.33843635
