pid,arrival_time,cpu_bursts_time,io_bursts_time,bursts_time,tat,ready_wait_time,response_time,io_wait_time
0,128.70297407843987,0.45968087915932415,1.4225741913882946,1.8822550705476189,1.8822550705476715,0.0,0.0,1.4225741913882928
1,240.93528450122,0.3728172907590225,0.6055950511285442,0.9784123418875667,0.978412341887605,0.0,0.0,0.605595051128546
2,245.25433506539204,0.6663221153863442,0.8736134302567077,1.539935545643052,1.539935545643118,0.0,0.0,0.8736134302567109
3,262.2563932495376,0.8207927183386946,0.9357664860141999,1.7565592043528944,1.7565592043528113,0.0,0.0,0.9357664860141881
4,272.87952144700824,0.3308885752532066,1.1401998759492935,1.4710884512025002,1.4710884512025473,0.0,0.0,1.1401998759492926
5,335.5493235717304,0.6438901048063314,1.1337231249072037,1.777613229713535,1.777613229713495,0.0,0.0,1.1337231249072488
6,378.3730086403699,0.41654033781233135,1.3775201257848138,1.7940604635971453,1.7940604635970772,0.0,0.0,1.3775201257847698
7,528.2843890353456,0.29534336457059485,0.2275120878251447,0.5228554523957395,0.5228554523959019,0.0,0.0,0.2275120878251755
8,550.2449747511052,0.4566561678672941,0.5573837842384011,1.0140399521056953,1.0140399521058043,0.0,0.0,0.5573837842383682
9,598.3209219028693,0.7296650029545659,0.9287249830243611,1.6583899859789266,1.6583899859792837,0.0,0.0,0.9287249830243809
10,613.3321946303779,0.679295917221375,1.0659833550524,1.745279272273775,1.7452792722739332,0.0,0.0,1.0659833550524809
11,642.4406226850263,0.9208083510351486,1.5928837412581038,2.513692092293253,2.513692092293695,0.0,0.0,1.5928837412582197
12,659.9780848907229,0.8198781212303425,1.4948223371642513,2.3147004583945936,2.314700458394782,0.0,0.0,1.4948223371643508
13,669.9274904705492,0.2975193294668259,0.4490607553136803,0.7465800847805062,0.7465800847804758,0.0,0.0,0.4490607553135533
14,831.5488731257941,0.45715986057135705,0.5476716296905071,1.0048314902618642,1.0048314902619495,0.0,0.0,0.5476716296905124
15,852.4888333815807,0.27223962687173986,0.17814281781094304,0.4503824446826829,0.45038244468275934,0.0,0.0,0.17814281781090813
16,860.8610865169859,0.410294075261586,0.6796868394027548,1.0899809146643409,1.0899809146644657,0.0,0.0,0.6796868394028479
17,928.5903903502971,0.6371153460040339,1.2327702974557346,1.8698856434597684,1.8698856434600657,0.0,0.0,1.2327702974557724
18,945.5408928440032,0.3311129360767569,0.7169552743379692,1.048068210414726,1.0480682104147263,0.0,0.0,0.71695527433792
19,1005.5344526312614,0.4015717585026886,0.9557205185030584,1.357292277005747,1.357292277005854,0.0,0.0,0.9557205185030853
20,1019.2482625207264,0.9172791147922469,1.4839637469438287,2.4012428617360753,2.4012428617364776,0.0,0.0,1.4839637469438003
21,1037.021759604503,0.6759162543782662,1.2126499046813057,1.888566159059572,1.8885661590593372,0.0,0.0,1.2126499046812569
22,1077.1360562733441,0.8770925858636097,1.9317354949611696,2.8088280808247794,2.808828080824469,0.0,0.0,1.9317354949614582
23,1138.167106859728,0.27300521100452335,0.9740118749863103,1.2470170859908336,1.2470170859903646,0.0,0.0,0.9740118749862177
24,1153.4930646348826,0.6010226038193145,0.4665530249675983,1.067575628786913,1.0675756287864715,0.0,0.0,0.46655302496765216
25,1165.4564188750744,0.7147503183966205,1.0046931774235168,1.7194434958201377,1.7194434958194051,0.0,0.0,1.0046931774234054
26,1181.336713908094,0.31356173211275984,1.2380043914612604,1.5515661235740201,1.551566123574048,0.0,0.0,1.2380043914613452
27,1273.0763104480254,0.234725599647447,0.4998731053028551,0.7345987049503021,0.7345987049502583,0.0,0.0,0.49987310530286777
28,1298.5239202344712,0.7455656593684402,1.4036186072458028,2.1491842666142436,2.1491842666134744,0.0,0.0,1.403618607245562
29,1366.7287683533486,0.46032610149599634,0.7049800621117668,1.165306163607763,1.1653061636077382,0.0,0.0,0.704980062111872
30,1410.4930930318328,0.8791117333247119,1.9752074179868035,2.8543191513115156,2.8543191513106194,0.0,0.0,1.975207417986212
31,1503.422168218036,0.7254595703226405,0.8239049638958719,1.5493645342185123,1.549364534218057,0.0,0.0,0.8239049638959841
32,1536.573556980913,0.8039085824065941,1.3856786509994143,2.1895872334060087,2.189587233405746,0.0,0.0,1.38567865099958
33,1676.7387514243785,0.5182932463013286,0.9341573736263395,1.4524506199276679,1.4524506199275038,0.0,0.0,0.9341573736264763
34,1679.7838834275608,0.21763016463416504,1.3710312441418897,1.5886614087760547,1.588661408776261,0.0,0.0,1.371031244141932
35,1697.7243768223043,0.24910083358584306,0.5458494251296417,0.7949502587154849,0.7949502587152892,0.0,0.0,0.5458494251295178
36,1705.206533147765,0.12174732662070403,0.5888333197378942,0.7105806463585983,0.710580646358494,0.0,0.0,0.588833319737887
37,1725.3704626934166,0.42706698304964064,0.9322045827806527,1.3592715658302932,1.3592715658303405,0.0,0.0,0.9322045827807415
38,1727.1520793047955,0.18730130832518752,0.960550136098588,1.1478514444237755,1.1478514444236225,0.0,0.0,0.9605501360986182
39,1751.6517314911325,0.5330058934820406,0.6195393612938221,1.152545254775863,1.1525452547755322,0.0,0.0,0.619539361293846
40,1770.8538800943172,0.5101235117333891,1.6861437456144126,2.1962672573478015,2.196267257347472,0.0,0.0,1.6861437456143449
41,1774.3246012753646,0.3379808876366221,0.9908307078369744,1.3288115954735964,1.328811595473553,0.0,0.0,0.9908307078369489
42,1824.7380417975046,0.41969644925405825,1.5130799219432394,1.9327763711972976,1.932776371196951,0.0,0.0,1.5130799219430173
