pid,arrival_time,cpu_bursts_time,io_bursts_time,bursts_time,tat,ready_wait_time,io_wait_time,response_time
69,710.4333320984733,59.12644400740224,45.918487347439324,105.04493135484157,589.4741889638788,473.85328705652375,56.49445789995286,710.59354699
56,573.4776328250825,75.00056984388567,45.48692866849499,120.48749851238065,987.1241093403503,859.3482373730792,52.77530212338536,573.47763283
42,450.1917309361497,76.16106913744328,46.75277856907868,122.91384770652195,1359.1220936735758,1232.1298384009222,50.831186135210146,469.18948564
45,480.8718908454746,80.42283045683239,46.61875609784554,127.04158655467795,1331.6471696223857,1200.5950736145526,50.629265551001595,481.20889649
41,428.13036056167795,77.75137844733842,46.93976107558056,124.69113952291897,1796.9526234174252,1669.1850522061536,50.01619276393296,428.18263897
68,683.4496584030123,77.25069083850143,46.88866932424715,124.13936016274859,1623.0060412556857,1491.2374233631924,54.51792705399123,683.44965840
81,808.0983626951,73.90917029510177,46.933856264687634,120.84302655978942,1514.3051605916298,1389.3518940242084,51.044096272318825,856.09753881
62,629.0214264657044,71.87209696422701,46.126551308264425,117.99864827249144,1720.214294201348,1596.4032272647403,51.93896997237937,629.02142647
55,565.003844242338,76.72193486835728,46.329627743050594,123.05156261140787,1959.0713648378223,1830.782073949069,51.56735602039794,565.23470720
32,253.60044898135632,73.69703211527019,47.087794535233336,120.78482665050352,2361.7913487248943,2235.8029630989145,52.291353510707836,253.60044898
22,184.9379819881274,78.45329143973096,46.70948156047433,125.1627730002053,2674.9274446317586,2541.2339769241416,55.240176267888415,185.23107189
82,811.7811710096074,82.34787598260132,45.88841327021841,128.23628925281974,2086.7281133123965,1952.6531595114066,51.72707781838869,820.53206153
20,167.55949049823042,72.72767257578215,46.67291722330476,119.4005897990869,2740.3813842936324,2614.670877347837,52.98283437001294,167.55949050
18,155.2985682536465,79.6215387735524,46.669641807263666,126.29118058081608,2874.452106477202,2740.782786579283,54.04778112436452,155.29856825
9,73.70840638687757,77.84367193248328,47.0013982066312,124.84507013911448,3097.7795537836337,2966.2131320647313,53.72274978641957,97.45724916
71,738.2411210387097,93.08377295781922,46.4644889830858,139.54826194090504,2476.744001559665,2333.6840280057227,49.97620059612427,738.75234875
60,600.3043779959039,79.97111624257471,47.06228940936255,127.03340565193729,2677.0009055702735,2543.6020091678715,53.42778015982719,600.49066799
26,205.33395346898365,65.0274038019673,46.597057009631875,111.62446081159919,3257.691017748847,3133.416729455932,59.246884490948275,205.44687328
6,64.61267938220865,80.95634476356412,47.47734470048566,128.43368946404976,3400.8107611546197,3267.1329791965245,52.721437194529884,65.98013364
80,802.8283475347781,82.8029152606652,45.98461165122161,128.78752691188686,2666.311639893961,2530.4079623483503,53.10076228494495,804.84081693
35,304.4682052423288,68.597572036547,45.685163671254436,114.28273570780145,3221.4504762344814,3102.4809659031184,50.37193829481646,305.45376647
25,194.13528815962462,90.49392474187421,47.66991623233314,138.16384097420735,3442.3765495074667,3299.6988431965206,52.18378156907298,197.51325622
38,364.68920358282793,70.4508783441328,46.45010061943456,116.90097896356734,3416.9194505030073,3292.0287696442692,54.43980251460499,364.68920358
29,214.1941861088626,87.24334956565819,46.86645520442203,134.1098047700802,3589.032513522236,3447.9892419360554,53.79992202052213,215.60442351
48,501.7746290161904,72.04847294529776,46.42334484989686,118.4718177951946,3344.470340548317,3221.2310425990117,51.190825004007706,501.77462902
79,799.7730530912752,75.09517964980301,45.592435923217955,120.68761557302099,3138.3843678083513,3012.752934441383,50.53625371716703,799.88542961
14,109.3405765468504,76.94349657485921,44.6551974066784,121.59869398153764,3977.454348824414,3851.800856321371,48.70999592818407,109.78918008
36,334.6270943425049,80.46436316203133,45.67100439087713,126.13536755290845,3932.9166125558527,3803.5350479824588,48.91720141136034,334.81878531
63,629.7283962431937,82.41127118129138,45.728470400698725,128.1397415819901,3713.04855027984,3577.34878629755,53.288492801000416,629.72839624
13,104.1031485127556,77.9302049241226,47.235699723310525,125.16590464743314,4327.469658730209,4197.199988553022,52.33946525306342,104.10314851
28,212.113653024401,90.20439016444607,47.18357277046689,137.38796293491296,4289.493887272358,4141.7556816416645,57.53381546624831,213.99767435
84,815.6434541045725,87.65796674712988,45.2579188829174,132.91588563004728,3709.0129048839713,3571.1254017446645,50.229536392177806,815.94623064
57,574.609706065997,73.57511873656169,46.364954627221536,119.94007336378324,4146.938026376773,4021.5860088637146,51.7768987764988,574.60970607
8,72.84667036361222,82.22687319533878,47.84790632947011,130.0747795248089,4651.278480359451,4512.740308882472,56.3112982816407,72.84667036
51,522.1957777391901,76.92108897859514,47.39779880100524,124.31888777960036,4212.14494898934,4081.6439528969677,53.5799071137734,522.50205921
4,31.69770946560905,77.03437375004377,47.2340387310431,124.26841248108686,4720.673834521754,4585.891802805206,57.74765796650328,31.69770947
70,712.7222583198493,79.83607980111421,47.11361106431614,126.94969086543037,4062.770364378829,3930.1251491372045,52.80913544051077,712.83826913
52,527.1186172976171,78.02527935791336,46.48489398657747,124.51017334449085,4263.732513317229,4134.009618004816,51.69761595449859,529.18323701
30,221.574152575313,82.86861584881598,45.54926065908902,128.41787650790502,4644.850207781319,4511.805505895812,50.17608603669052,221.57415258
75,768.2039039553995,92.52612594113603,47.27981832066756,139.80594426180357,4158.291178229454,4015.852842032341,49.91221025597565,768.20390396
73,747.5010897475015,75.66791912204087,46.80590240617738,122.47382152821827,4200.772989895537,4074.856228087407,50.24884268609094,749.65011956
7,69.4315020195159,85.69277355145829,45.97076718454036,131.66354073599865,4949.608643026252,4809.972650587904,53.94321888689221,69.79263960
61,606.5470776143659,92.56073543568158,47.4744123055771,140.03514774125867,4446.456758083214,4303.123691927552,50.77233071998012,606.54707761
46,483.2613569799862,76.54568276526214,45.177258496188735,121.7229412614509,4607.054885887547,4478.33103076665,52.17817235563581,483.29319256
5,59.68985958728688,80.35044004822184,47.0291505616442,127.37959060986603,5141.595694699893,5007.610273441723,53.63498120994866,64.62855013
31,248.7682226109529,86.75016499889999,47.498492476540456,134.24865747544044,4965.657970994338,4827.663297876785,51.24450811865077,248.76822261
15,111.33753506475063,81.3742484214821,46.36099683608174,127.73524525756383,5248.947596550575,5117.078363094542,50.49498503455045,112.48846075
33,275.73382127990203,85.422090440046,45.6433995889615,131.06549002900752,5105.081019293297,4969.348821402297,50.310107450953694,275.73382128
16,124.09162238003786,72.6579543434092,46.39613827067188,119.05409261408109,5301.980938289488,5177.907296192119,51.415687753961535,124.09966411
12,94.24710471747393,83.07124000756089,45.79778817737677,128.86902818493766,5390.4182226922485,5257.650221178173,49.696761506514065,94.33076932
34,293.79497418959176,79.39791860366648,47.92329711564759,127.32121571931407,5207.313257626332,5073.08984914324,54.8254898794292,294.47677870
44,465.84105960327673,83.37783942443477,45.37330597752619,128.75114540196097,5110.846882431431,4977.7384812094515,49.73056179754349,5383.95732228
1,10.111817939818616,70.1956571817181,45.48063481019974,115.67629199191786,5599.824247738924,5475.966340088066,53.6622504691413,12.32043945
83,813.8472361692994,85.85067669110725,47.520835528019624,133.37151221912688,4853.314212899466,4715.085789546795,52.37774666156656,814.00902863
21,174.05962405253138,82.12985955183626,46.64600296392263,128.7758625157589,5520.600248077854,5384.905153934723,53.56523459129676,174.05962405
65,647.1522328465364,90.24511124165963,48.176481126108214,138.42159236776786,5096.807470380514,4954.653997475849,51.90836166300517,664.78436268
50,515.7539746862841,77.4262544396213,45.80964759564892,123.23590203527023,5260.43785499703,5130.994631462418,52.01696909499162,515.75397469
66,659.5957626236267,84.34812513459096,46.50686496606682,130.85499010065774,5173.066756796343,5033.147735826168,55.570895835585475,681.31192682
3,22.24418944583985,88.27268406638483,47.328118085647155,135.60080215203197,5842.734742035868,5702.982448391589,51.479609577888894,23.09159565
77,785.2960287979548,79.52001183414755,47.14287777553175,126.66288960967928,5103.491949705865,4973.168671326573,50.80326654514727,785.29602880
47,486.44178743187655,76.87559456049368,47.93400782762385,124.80960238811753,5447.426561944919,5319.974454451276,50.57651293314757,487.57892185
58,588.8596629473847,81.57086943330789,45.491258723979584,127.0621281572875,5379.040422430997,5246.329007658631,51.14054533905755,593.65692626
10,85.93948073797144,76.45582658758357,47.25686487617479,123.71269146375838,5906.476638799891,5776.121448060015,53.89936415229576,85.93948074
49,504.3025177935763,96.48408821798712,48.4146818543576,144.89877007234475,5536.05038658035,5387.350802622526,52.215495739836456,506.74797954
54,543.7590082268551,94.96692142555264,46.17859574669197,141.14551717224458,5502.151527800982,5357.645972545592,49.53863382984025,545.78881227
17,146.96126853540395,75.82105863462164,46.21533456741646,122.03639320203811,5915.1166937495,5781.6250807116085,57.670554403271666,148.72024322
64,644.5262857789493,76.74186869800722,46.397943974284786,123.13981267229201,5438.110453668982,5310.471143358799,50.89744161217675,645.09137701
59,599.1787194380388,82.4772379881187,46.783484201150685,129.2607221892694,5546.594558660418,5413.974417933237,50.142902739062265,637.63601867
67,674.7619436235839,83.86380389092447,45.53812119435421,129.40192508527872,5548.933185882609,5414.246959398474,50.82242259321015,674.80773848
19,160.06280695593318,86.77336080427143,46.92391625095586,133.69727705522726,6097.910658604831,5959.67755296285,51.459744837708286,160.06280696
0,6.867744622052211,78.55775813650506,45.950542861498484,124.50830099800355,6322.573918831545,6193.07164149358,50.944519201462825,6.86774462
24,187.85443558277893,90.83854201829473,46.704989053661315,137.54353107195604,6181.292915295999,6037.3183904354155,53.135982842289025,187.85443558
2,12.7349319852423,74.85978873706293,46.0019186400267,120.86170737708963,6363.512314174811,6236.707983137403,51.94454230034323,12.73493199
72,738.4368863046991,81.30341814602761,46.215352922836054,127.51877106886367,5699.66330650722,5568.504258444671,49.855629916523185,738.43688630
37,339.38431442816477,89.99710328248726,46.52385836432929,136.52096164681657,6104.679378915253,5965.261837918538,49.420437714229365,339.93862545
53,542.6047496177687,91.33467441612662,45.718752368040555,137.0534267841672,5991.401261187644,5849.886338660788,50.18024811072917,542.60474962
74,768.169097413039,83.11105991609462,46.21355134158863,129.32461125768324,5830.603499529909,5697.58102593571,49.911413678100644,768.29272037
40,426.0942885268919,82.31125687284575,45.04195310597978,127.35320997882553,6177.876275187784,6046.205870041683,49.35914827325303,426.09428853
39,405.1848624071964,71.45520771316292,47.888659913234,119.3438676263969,6222.89880921929,6097.875628764717,53.56797274140774,405.26888561
23,187.46574272475934,76.15962318622766,46.10056222102032,122.26018540724799,6491.055417749375,6363.247028853431,51.64876570971458,187.46669008
27,212.09706468428652,82.32810917425947,47.427952568205946,129.75606174246542,6534.535800891281,6396.541010340581,55.6666813764416,212.11796614
76,772.9440208013557,103.4322230922561,46.86382518156423,150.29604827382033,5983.294809480486,5827.623341586569,52.239244801664654,772.94402080
78,796.9419528392456,87.32397093866804,47.48953295690896,134.81350389557699,6024.022974277322,5884.633890992053,52.065112346602064,797.68669748
11,87.00952460612191,85.17817234629837,45.94796304900015,131.12613539529855,6763.5335456699895,6629.803282581757,48.55209074193175,87.28417054
43,452.91761990024537,100.5619278067333,47.675391395563665,148.237319202297,6468.4237559955045,6318.342716420505,49.51911176826661,452.94669765
