code n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
1 20 1 18849 3213 1 0.000126 
1 20 1 18849 3213 1 0.000129 
1 20 1 18849 3213 1 0.000109 
1 20 1 6866 27920 1 0.000107 
1 20 1 6866 27920 1 0.000129 
1 20 1 6866 27920 1 0.000128 
1 20 1 14427 10919 1 0.000122 
1 20 1 14427 10919 1 0.000149 
1 20 1 14427 10919 1 0.000129 
1 20 1 5230 20107 1 0.000154 
1 20 1 5230 20107 1 0.000129 
1 20 1 5230 20107 1 0.000129 
1 20 1 28866 13260 1 0.000104 
1 20 1 28866 13260 1 0.000131 
1 20 1 28866 13260 1 0.000107 
1 20 1 14642 20212 1 0.000212 
1 20 1 14642 20212 1 0.000128 
1 20 1 14642 20212 1 0.000130 
1 20 1 8027 1592 1 0.000152 
1 20 1 8027 1592 1 0.000131 
1 20 1 8027 1592 1 0.000130 
1 20 1 19069 22964 1 0.000115 
1 20 1 19069 22964 1 0.000131 
1 20 1 19069 22964 1 0.000132 
1 20 1 6316 759 1 0.000129 
1 20 1 6316 759 1 0.000126 
1 20 1 6316 759 1 0.000131 
1 20 1 4290 27816 1 0.000131 
1 20 1 4290 27816 1 0.000126 
1 20 1 4290 27816 1 0.000129 
1 20 1 19958 29472 1 0.000152 
1 20 1 19958 29472 1 0.000102 
1 20 1 19958 29472 1 0.000193 
1 20 1 14003 20707 1 0.000174 
1 20 1 14003 20707 1 0.000105 
1 20 1 14003 20707 1 0.000105 
1 20 1 2078 24323 1 0.000173 
1 20 1 2078 24323 1 0.000132 
1 20 1 2078 24323 1 0.000131 
1 20 1 12670 19012 1 0.000126 
1 20 1 12670 19012 1 0.000131 
1 20 1 12670 19012 1 0.000128 
1 20 1 24729 19085 1 0.000207 
1 20 1 24729 19085 1 0.000130 
1 20 1 24729 19085 1 0.000157 
1 20 1 18308 13340 1 0.000178 
1 20 1 18308 13340 1 0.000176 
1 20 1 18308 13340 1 0.000127 
1 20 1 18056 21725 1 0.000106 
1 20 1 18056 21725 1 0.000130 
1 20 1 18056 21725 1 0.000131 
1 20 1 6977 4225 1 0.000129 
1 20 1 6977 4225 1 0.000130 
1 20 1 6977 4225 1 0.000156 
1 20 1 21576 21749 1 0.000125 
1 20 1 21576 21749 1 0.000131 
1 20 1 21576 21749 1 0.000109 
1 20 1 18483 20630 1 0.000132 
1 20 1 18483 20630 1 0.000174 
1 20 1 18483 20630 1 0.000129 
1 20 1 29448 2737 1 0.000171 
1 20 1 29448 2737 1 0.000130 
1 20 1 29448 2737 1 0.000156 
1 20 1 10735 18023 1 0.000168 
1 20 1 10735 18023 1 0.000130 
1 20 1 10735 18023 1 0.000129 
1 20 1 22619 26061 1 0.000174 
1 20 1 22619 26061 1 0.000130 
1 20 1 22619 26061 1 0.000129 
1 20 1 12863 4524 1 0.000128 
1 20 1 12863 4524 1 0.000131 
1 20 1 12863 4524 1 0.000155 
1 20 1 19507 14342 1 0.000195 
1 20 1 19507 14342 1 0.000130 
1 20 1 19507 14342 1 0.000131 
1 20 1 23189 4260 1 0.000107 
1 20 1 23189 4260 1 0.000126 
1 20 1 23189 4260 1 0.000128 
1 20 1 9863 10886 1 0.000130 
1 20 1 9863 10886 1 0.000401 
1 20 1 9863 10886 1 0.000139 
1 20 1 92 16225 1 0.000128 
1 20 1 92 16225 1 0.000158 
1 20 1 92 16225 1 0.000157 
1 20 1 14454 1742 1 0.000124 
1 20 1 14454 1742 1 0.000133 
1 20 1 14454 1742 1 0.000129 
1 20 1 8375 19122 1 0.000174 
1 20 1 8375 19122 1 0.000129 
1 20 1 8375 19122 1 0.000130 
1 20 200 13856 17309 3 0.000138 
1 20 200 13856 17309 3 0.000112 
1 20 200 13856 17309 3 0.000138 
1 20 200 20897 10976 3 0.000360 
1 20 200 20897 10976 3 0.000364 
1 20 200 20897 10976 3 0.000358 
1 20 200 28554 27200 4 0.000737 
1 20 200 28554 27200 4 0.000740 
1 20 200 28554 27200 4 0.000752 
1 20 200 16265 353 4 0.002270 
1 20 200 16265 353 4 0.002535 
1 20 200 16265 353 4 0.002543 
1 20 200 3842 10195 3 0.000403 
1 20 200 3842 10195 3 0.000404 
1 20 200 3842 10195 3 0.000404 
1 20 200 25890 11511 4 0.001681 
1 20 200 25890 11511 4 0.001238 
1 20 200 25890 11511 4 0.001264 
1 20 200 11143 21576 4 0.000506 
1 20 200 11143 21576 4 0.000472 
1 20 200 11143 21576 4 0.000398 
1 20 200 28486 805 4 0.003513 
1 20 200 28486 805 4 0.003441 
1 20 200 28486 805 4 0.003604 
1 20 200 14479 20831 3 0.000162 
1 20 200 14479 20831 3 0.000166 
