n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
12 5 13918 13539 2 0.000161 
12 10 3349 13539 2 0.000066 
12 25 12397 13539 3 0.000079 
12 50 25615 13539 4 0.000163 
12 2 18185 29993 2 0.000067 
12 5 12860 29993 2 0.000072 
12 10 4289 29993 3 0.000101 
12 25 23958 29993 3 0.000071 
12 50 12708 29993 4 0.000181 
12 2 25853 29582 2 0.000082 
12 5 26485 29582 2 0.000069 
12 10 10079 29582 2 0.000089 
12 25 20234 29582 3 0.000069 
12 50 6710 29582 4 0.000160 
12 2 3796 28357 1 0.000079 
12 5 7606 28357 2 0.000066 
12 10 7570 28357 3 0.000060 
12 25 29371 28357 4 0.000482 
12 50 28064 28357 4 0.000118 
12 2 24223 8301 2 0.000066 
12 5 19167 8301 2 0.000064 
12 10 15896 8301 3 0.000082 
12 25 2051 8301 4 0.000099 
12 50 9479 8301 4 0.000078 
14 2 24473 10750 2 0.000093 
14 5 11629 10750 2 0.000143 
14 10 21684 10750 2 0.000113 
14 25 16753 10750 4 0.001025 
14 50 1261 10750 4 0.000857 
14 2 11337 25121 2 0.000129 
14 5 28550 25121 2 0.000098 
14 10 1687 25121 2 0.000098 
14 25 15361 25121 4 0.000282 
14 50 26751 25121 5 0.000767 
14 2 2472 10171 2 0.000128 
14 5 19522 10171 2 0.000092 
14 10 10679 10171 2 0.000091 
14 25 26341 10171 4 0.000592 
14 50 13157 10171 5 0.000980 
14 2 21713 19041 2 0.000096 
14 5 18931 19041 2 0.000094 
14 10 14064 19041 3 0.000113 
14 25 10619 19041 3 0.000158 
14 50 11745 19041 5 0.000655 
14 2 14935 22893 2 0.000091 
14 5 11201 22893 2 0.000093 
14 10 13158 22893 3 0.000160 
14 25 12961 22893 4 0.000315 
14 50 25344 22893 5 0.000672 
14 2 9082 8022 2 0.000135 
14 5 17471 8022 2 0.000097 
14 10 11773 8022 2 0.000136 
14 25 20955 8022 4 0.000233 
14 50 4670 8022 4 0.000216 
14 2 14959 2198 2 0.000092 
14 5 6147 2198 2 0.000092 
14 10 5519 2198 2 0.000097 
14 25 18982 2198 3 0.000158 
14 50 19560 2198 5 0.000471 
14 2 4193 12032 2 0.000094 
14 5 17172 12032 2 0.000135 
14 10 11565 12032 3 0.000132 
14 25 29303 12032 3 0.000109 
14 50 10763 12032 4 0.000212 
14 2 21972 2849 2 0.000103 
14 5 19808 2849 2 0.000091 
14 10 10185 2849 3 0.000424 
14 25 21920 2849 3 0.000093 
14 50 23392 2849 5 0.004883 
14 2 11043 5380 1 0.000095 
14 5 20539 5380 2 0.000091 
14 10 13472 5380 2 0.000162 
14 25 3632 5380 4 0.000351 
14 50 27867 5380 5 0.000266 
14 2 8076 3816 2 0.000092 
14 5 15251 3816 3 0.000159 
14 10 15633 3816 2 0.000089 
14 25 22177 3816 3 0.000127 
14 50 24715 3816 5 0.000491 
14 2 18786 22464 2 0.000097 
14 5 5610 22464 2 0.000094 
14 10 14239 22464 3 0.000187 
14 25 14095 22464 3 0.000108 
14 50 1287 22464 5 0.000510 
14 2 18160 28891 2 0.000094 
14 5 28316 28891 2 0.000094 
14 10 28832 28891 2 0.000212 
14 25 2241 28891 3 0.000184 
14 50 6033 28891 4 0.000086 
14 2 19718 12818 1 0.000096 
14 5 14414 12818 2 0.000110 
14 10 7184 12818 3 0.000150 
14 25 6177 12818 3 0.000187 
14 50 23595 12818 5 0.000460 
14 2 10092 19129 2 0.000093 
14 5 13843 19129 2 0.000094 
14 10 27679 19129 3 0.000099 
14 25 15962 19129 3 0.000123 
14 50 6520 19129 5 0.000757 
14 2 6881 23973 1 0.000116 
14 5 28817 23973 2 0.000091 
14 10 24927 23973 3 0.000158 
14 25 14360 23973 3 0.000140 
14 50 24446 23973 4 0.000089 
14 2 184 3352 2 0.000092 
14 5 2551 3352 2 0.000090 
14 10 15277 3352 3 0.000225 
14 25 18589 3352 3 0.000106 
14 50 27266 3352 4 0.000236 
14 2 16195 24594 2 0.000091 
14 5 11086 24594 2 0.000102 
14 10 13882 24594 3 0.000121 
14 25 9703 24594 3 0.000177 
14 50 2193 24594 6 0.013291 
14 2 1637 10163 1 0.000112 
14 5 12538 10163 2 0.000095 
14 10 25508 10163 2 0.000113 
14 25 8772 10163 3 0.000099 
14 50 18437 10163 6 0.003108 
14 2 16961 4922 2 0.000095 
14 5 20182 4922 2 0.000092 
