n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
21 2 2174 6659 2 0.000206 
21 3 24834 6659 2 0.000210 
21 4 3250 6659 2 0.000209 
21 5 4302 6659 2 0.000250 
21 6 17545 6659 2 0.000210 
21 7 29804 6659 3 0.000209 
21 8 23950 6659 2 0.000215 
21 9 20637 6659 3 0.000440 
21 10 20559 6659 2 0.000446 
21 11 2855 6659 3 0.000256 
21 12 16912 6659 3 0.000233 
21 13 7808 6659 3 0.000228 
21 14 5095 6659 3 0.000211 
21 15 22911 6659 3 0.000204 
21 16 20678 6659 3 0.000223 
22 1 6816 18280 2 0.000234 
22 2 1853 18280 2 0.000235 
22 3 6845 18280 2 0.000222 
22 4 13866 18280 2 0.000270 
22 5 8963 18280 2 0.000232 
22 6 22892 18280 3 0.000363 
22 7 18911 18280 3 0.000456 
22 8 25574 18280 3 0.000301 
22 9 24308 18280 3 0.000540 
22 10 20045 18280 3 0.000614 
22 11 8633 18280 3 0.000831 
22 12 21139 18280 3 0.000898 
22 13 24731 18280 3 0.156023 
22 14 19726 18280 3 0.008452 
22 15 11763 18280 3 0.021314 
22 16 7174 18280 3 0.000423 
23 1 26132 17337 2 0.000248 
23 2 21662 17337 2 0.000322 
23 3 6372 17337 2 0.001004 
23 4 19020 17337 2 0.000262 
23 5 5078 17337 2 0.000393 
23 6 25614 17337 2 0.005917 
23 7 12073 17337 2 0.000417 
23 8 8593 17337 2 0.000251 
23 9 23502 17337 2 0.000365 
23 10 12295 17337 3 0.000502 
23 11 20725 17337 3 0.000619 
23 12 17499 17337 3 0.000392 
23 13 11037 17337 3 0.000268 
23 14 13733 17337 3 0.000394 
23 15 6643 17337 3 0.000314 
23 16 17956 17337 4 0.004111 
24 1 8715 17984 2 0.000272 
24 2 8588 17984 2 0.000267 
24 3 406 17984 2 0.000278 
24 4 9113 17984 2 0.000279 
24 5 1464 17984 2 0.000301 
24 6 1492 17984 3 0.000681 
24 7 28336 17984 3 0.000342 
24 8 12197 17984 3 0.000317 
24 9 9214 17984 3 0.000765 
24 10 28219 17984 3 0.010037 
24 11 5058 17984 3 0.002971 
24 12 25506 17984 3 0.000297 
24 13 1346 17984 4 0.003171 
24 14 8035 17984 3 0.000495 
24 15 4249 17984 3 0.000329 
24 16 2510 17984 3 0.002751 
25 1 8967 818 2 0.000376 
25 2 23338 818 2 0.000317 
25 3 7742 818 2 0.000312 
25 4 5604 818 2 0.000312 
25 5 27100 818 3 0.002204 
25 6 28953 818 3 0.005802 
25 7 10893 818 3 0.000886 
25 8 26327 818 3 0.000675 
25 9 21221 818 3 0.000888 
25 10 18115 818 3 0.001770 
25 11 17085 818 3 0.003492 
25 12 5536 818 3 0.000471 
25 13 6081 818 3 0.000571 
25 14 24146 818 3 0.000416 
25 15 5657 818 3 0.001881 
25 16 10508 818 4 0.003619 
26 1 709 11686 2 0.000336 
