pid,arrival_time,cpu_bursts_time,io_bursts_time,bursts_time,tat,ready_wait_time,io_wait_time
19,35.63420559766289,27.844168554012263,4.40219025274011,32.246358806752376,1406.5295865089993,1373.494884953714,5.190533001272996
42,68.55658027984327,28.048747858393725,4.566065166786211,32.614813025179934,1403.6301152763558,1370.4763656157022,5.1050018022599915
3,4.546642101759608,31.47304027863695,5.867648818282635,37.34068909691958,1588.4176536634016,1550.6127397023963,6.331873682368673
6,12.263023138069595,38.635527344774985,6.220289246659043,44.855816591434035,1582.3558118544584,1537.1314238992782,6.588860610405526
32,54.40094714503533,33.84481495611095,4.99852838006521,38.84334333617617,1598.8002449020341,1559.3297986935254,5.6256312523976675
0,0.8548131526573817,40.96843866162197,6.700907037640929,47.66934569926289,1744.4397821912182,1695.5994001547422,7.8719433748544345
43,69.61663871638252,33.27265679335529,6.1358809218742065,39.408537715229485,1713.5793536381955,1673.894846479663,6.411850365177074
24,38.83152210103453,36.01308944437501,7.722530532829148,43.73561997720416,1805.2535451725532,1760.793636357435,8.446819370743519
31,52.73341457372946,36.06894911263861,5.700211697414546,41.769160810053165,1818.6236934145065,1776.4925185592342,6.062225742633942
11,12.97626675672952,38.65416503629615,6.491697656997303,45.14586269329345,1860.8852861638297,1815.357327023929,6.873794103604503
5,8.61439047474542,39.6964265951905,7.793316429285375,47.489743024475885,1941.4707864916513,1892.7487664288328,9.025593467627848
27,39.540436942458875,38.55175646345355,8.499804459688031,47.05156092314157,1936.6449960690193,1888.4516135124284,9.641626093137262
8,12.691208906189384,44.40316091184645,7.672629627476081,52.07579053932252,1982.8920515962845,1930.1856487604919,8.303241923945361
13,19.6086657483171,40.84098825577007,8.447053553688,49.28804180945808,1977.6990314135282,1926.5526307701969,10.305412387561141
34,54.68439932527382,45.21455926900761,8.485647831693548,53.700207100701164,1953.5587406590419,1899.1024736890308,9.241707701003662
39,62.99800182726051,40.41208277848318,7.571412595688684,47.98349537417187,1954.5070461081746,1905.08872158181,9.006241747881191
22,36.7968449557674,41.67869895246883,7.4947629350105816,49.17346188747942,1997.4509073775403,1947.4758831328138,8.296325292257585
33,54.68152818958851,43.255648817390494,7.406704120617083,50.66235293800758,1980.946161915516,1929.7452352333348,7.945277864790938
25,39.321904295330114,42.60173919962684,7.530226491108243,50.13196569073507,1998.6099706836192,1946.916442176212,9.091789307779933
28,39.7239580751066,41.06804475719964,8.6271873397932,49.69523209699284,2001.7545575601546,1951.1742276480077,9.512285154947392
14,22.194616036835033,45.630696548604526,6.2864343824084425,51.91713093101296,2036.835604389036,1984.687045324819,6.517862515612499
37,60.84469298978784,43.63358570128889,6.430817357289455,50.064403058578336,2004.698501996255,1953.5685178016586,7.496398493307339
9,12.747356715707408,43.846426045539076,8.90122852344778,52.74765456898685,2070.911417621796,2017.8017267262023,9.263264850054288
36,59.13799644532148,44.76311956668014,8.994991005467574,53.75811057214771,2030.8373719097142,1976.7487047271381,9.325547615896014
44,69.9788597483976,40.00816931371589,7.705549362237899,47.71371867595379,2026.92814025586,1978.439543539995,8.4804274021499
23,38.71218537187942,44.40489019552339,8.038234823431827,52.443125018955215,2068.5613769426636,2014.9734939526313,9.182992794509175
2,4.445550038856717,51.200641972362945,8.902429495608366,60.10307146797131,2112.369306525391,2051.9764555611696,9.192208991858369
45,70.73724561568584,42.08793521759554,6.890922921438131,48.97885813903368,2048.3380021952994,1998.6713969348318,7.5786700428724885
48,76.69009481941403,44.33680661965593,5.143020124973,49.47982674462892,2047.2378852526892,1995.9041185122078,6.996960120825477
4,5.386980717195554,51.84601554474735,9.502254186391784,61.34826973113915,2125.8785254823883,2063.282915010348,10.749594927292614
46,74.67014273267355,44.885870173638686,8.975360080063133,53.86123025370183,2063.088901317177,2008.19275133741,10.010279806128011
10,12.8105828958329,46.54401259158213,8.51595094611931,55.05996353770144,2129.553788766583,2073.61853954461,9.391236630390203
17,24.14684742992194,46.52039537147032,8.723855039585068,55.24425041105539,2124.9123216660932,2068.526382925836,9.865543368786462
29,48.21054069487098,47.7500720767938,6.920396219319561,54.67046829611336,2106.3871950485554,2051.0300042059944,7.607118765767055
15,22.441610282162095,49.610121658026635,10.071832570105439,59.68195422813208,2140.675807940132,2080.3612173260126,10.704468956092654
16,22.675657831604006,50.194481022142035,8.201297730737549,58.395778752879586,2140.930406625423,2082.454616885829,8.281308717451147
18,30.821254991058115,47.457208489475846,7.897157032939028,55.354365522414874,2138.936461208174,2082.9354529626003,8.543799756098814
40,64.41803047319887,45.044001992353465,8.11318857063107,53.15719056298453,2111.709813877413,2057.9041058677444,8.761706017316811
47,75.3601830712774,49.19603600684572,8.594028076901518,57.79006408374724,2104.7253944804725,2045.4553606971713,10.073997776454974
49,77.17636809581019,47.478501979960015,7.444448575423885,54.922950555383906,2104.989575690089,2049.201602168152,8.309471541977004
12,18.79103370824057,46.170789512930156,8.131849539136478,54.30263905206663,2167.6581651950614,2112.3612001078463,9.126175574284638
30,49.82218068221118,50.90462940203369,9.490583505686928,60.39521290772062,2138.1494590444036,2076.596475533893,10.648354108476184
21,36.44033722267554,47.67101454145777,11.590329623822416,59.261344165280185,2152.2947310400114,2092.355970232632,12.267746265922021
26,39.430097485904845,51.914397412982815,7.856930448916693,59.77132786189949,2151.924893374261,2090.793190250658,9.217305710619279
20,36.39030996778871,52.544797931293935,7.085438381411551,59.63023631270549,2161.30848008258,2100.6119063176334,8.15177583365164
1,1.006360439440849,55.30688480624254,10.45811959903535,65.76500440527789,2198.5699240249455,2131.8184921132797,11.444547105421888
41,66.9247207822201,50.57096679463751,8.049372305035277,58.6203390996728,2133.2024743750053,2074.1253198811046,8.506187699263151
7,12.396727220078827,53.30428760651699,10.311974200240037,63.616261806757045,2188.055446364226,2123.2548003171623,11.496358440546881
35,56.50890922676053,50.50130666422547,9.13086862882487,59.63217529305034,2147.123925205553,2086.404897228896,10.217721312431024
38,62.43231907369468,56.20944795021625,10.459688966469113,66.66913691668537,2142.971836214562,2076.13292437697,10.629463887376119
